Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	translate	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-mii-ig-consent.json	22795	-	0	0	0	0	0	0	10	280	0	0	0	0	0	0	0	1	0	0	16	126	276	0	0	0	7	0	2
fsh-generated/resources/CapabilityStatement-mii-cap-consent-server.json	3121	3	0	0	1	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	6	49	50	0	0	0	2	0	0
fsh-generated/resources/CodeSystem-2.16.840.1.113883.3.1937.777.24.5.2--20210423105554.json	2854	1	0	0	0	0	0	0	1	9	0	0	0	0	0	0	0	0	0	0	4	76	97	0	0	0	0	0	1
fsh-generated/resources/CodeSystem-2.16.840.1.113883.3.1937.777.24.5.3--20251211153003.json	33553	6	0	0	0	0	0	0	4	30	0	0	1	0	0	0	0	0	0	0	6	148	246	0	0	0	5	0	0
fsh-generated/resources/CodeSystem-mii-cs-consent-version-modules.json	18796	4	0	0	0	0	0	0	2	16	0	0	0	0	0	0	0	0	0	0	4	65	109	0	0	0	2	0	1
fsh-generated/resources/Consent-34150a23-b1c8-404f-874f-e042a30435d2.json	5060	3	0	0	0	0	0	0	0	1517	0	0	0	0	0	0	0	0	0	0	3	226	54	0	0	0	0	0	0
fsh-generated/resources/Consent-5143266b-8d60-4b28-8ee9-635140ffa5bb.json	15110	3	0	0	0	0	0	0	2	20	0	0	0	0	0	0	0	1	0	0	3	70	124	0	0	0	0	0	0
fsh-generated/resources/Consent-89f494a3-cd75-44f5-a78a-581dfdd47a94.json	4568	2	0	0	1	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	2	66	32	0	0	0	0	0	0
fsh-generated/resources/Consent-Example-MII-Consent-ResultType-document.json	4571	2	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	3	51	88	0	1	0	0	0	0
fsh-generated/resources/DocumentReference-8a3d1799-2463-405e-b49c-6a16c8692b01.json	628	1	0	0	0	0	0	0	0	954	0	0	0	0	0	0	0	0	0	0	2	6	16	0	0	0	0	0	0
fsh-generated/resources/Patient-531cef77-2a30-4283-944d-affaf9ae234e.json	560	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	3	4	10	0	0	0	0	0	0
fsh-generated/resources/Patient-9b4a702d-162c-428a-8c5d-8b98af21b693.json	560	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	5	7	0	0	0	0	0	0
fsh-generated/resources/Provenance-55219d12-6245-4de4-8b50-ddf6f16a789b.json	1800	2	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	2	6	83	0	0	0	0	0	1
fsh-generated/resources/ResearchStudy-c946ae17-e3e6-4178-b5ea-15f95aaeeeb4.json	1380	1	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	2	7	18	0	0	0	0	0	0
fsh-generated/resources/ResearchStudy-d7a65ce8-2810-401a-b0db-70782a7b19a6.json	1380	1	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	2	14	81	0	0	0	0	0	0
fsh-generated/resources/SearchParameter-mii-sp-consent-policyuri.json	556	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	29	29	0	0	0	1	0	0
fsh-generated/resources/SearchParameter-mii-sp-consent-provisioncode.json	556	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	9	139	0	0	0	0	0	0
